id,rwa_score,testelapse,education,engnat,education_level,urban,gender,age,hand,familysize
2100,3.6,279,2,2,High School,Suburban,Female,17,Both,0
2101,1.2,334,4,2,Graduate degree,Urban,Male,36,Right,2
2102,3.5,147,2,1,High School,Suburban,Male,20,Right,2
2103,2.7,263,3,1,University degree,Urban,Male,21,Right,4
2104,2.6,149,3,1,University degree,Urban,Male,22,Left,2
2105,1.85,248,3,2,University degree,Suburban,Male,47,Right,3
2106,2.45,171,3,1,University degree,Suburban,Male,26,Right,2
2107,2.15,229,4,1,Graduate degree,Urban,Female,45,Right,7
2108,1.9,175,4,2,Graduate degree,Suburban,Male,36,Right,1
2109,1,289,4,2,Graduate degree,Suburban,Female,58,Right,5
2110,1,220,4,2,Graduate degree,Urban,Male,44,Right,2
2111,5.4,189,1,1,Less than high school,Suburban,Male,16,Left,2
2112,2.35,165,2,1,High School,Suburban,Male,20,Right,4
2113,1.45,164,2,1,High School,Suburban,Female,33,Right,3
2114,1.1,121,2,2,High School,Urban,Male,17,Right,1
2115,2.7,346,2,1,High School,Suburban,Male,44,Right,1
2116,1.25,148,1,1,Less than high school,Rural,Female,14,Right,2
2117,1.8,168,4,1,Graduate degree,Suburban,Female,27,Right,4
2118,2.7,336,4,1,Graduate degree,Suburban,Female,51,Right,2
2119,4.75,180,3,1,University degree,Rural,Male,60,Right,3
2120,3.3,199,2,2,High School,Urban,Male,23,Right,1
2121,6.1,357,3,2,University degree,Suburban,Male,24,Right,1
2122,1,169,1,1,Less than high school,Suburban,Male,33,Right,2
2123,3.1,218,3,1,University degree,Urban,Female,53,Right,2
2124,1.65,205,3,2,University degree,Suburban,Female,28,Right,2
2125,1.35,191,2,1,High School,Rural,Male,33,Right,3
2126,1.45,198,2,1,High School,Urban,Female,73,Right,4
2127,2.1,298,3,2,University degree,Suburban,Male,38,Right,8
2128,1.85,169,4,1,Graduate degree,Suburban,Female,66,Right,3
2129,2.5,161,4,1,Graduate degree,Rural,Male,40,Right,2
2130,6.2,599,2,1,High School,Urban,Male,30,Right,4
2131,2.15,205,4,1,Graduate degree,Suburban,Female,71,Right,2
2132,1.75,185,3,1,University degree,Suburban,Female,48,Right,1
2133,1.65,115,4,1,Graduate degree,Suburban,Female,43,Right,3
2134,1.4,152,2,1,High School,Suburban,Male,60,Right,3
2135,3.3,217,4,1,Graduate degree,Rural,Female,63,Right,9
2136,1.55,175,1,2,Less than high school,Suburban,Female,15,Left,2
2137,4.4,238,3,2,University degree,Urban,Male,25,Right,1
2138,1.6,239,1,1,Less than high school,Urban,Male,16,Right,2
2139,6.75,436,0,1,NA,Urban,Male,18,Right,0
2140,1.5,152,2,1,High School,Suburban,Male,20,Right,2
2141,6.3,178,4,1,Graduate degree,Urban,Male,34,Right,3
2142,2.45,305,1,1,Less than high school,Rural,Male,44,Right,6
2143,5.7,130,3,1,University degree,Urban,Male,21,Right,2
2144,2.05,4380,3,1,University degree,Suburban,Male,54,Right,3
2145,4,146,3,1,University degree,Urban,Male,59,Right,3
2146,1.3,136,1,1,Less than high school,Urban,Female,15,Right,3
2147,3.75,236,3,1,University degree,Suburban,Male,58,Right,4
2148,3.9,273,2,1,High School,Suburban,Male,32,Right,4
2149,1,132,4,1,Graduate degree,Suburban,Female,53,Right,2
2150,2.15,120,3,1,University degree,Suburban,Male,21,Right,2
2151,3.1,160,4,2,Graduate degree,Urban,Male,49,Right,3
2152,6.6,192,2,1,High School,Rural,Female,49,Right,2
2153,3.05,349,2,2,High School,Rural,Male,34,Right,2
2154,1.5,885,3,1,University degree,Suburban,Male,27,Right,3
2155,2,148,3,1,University degree,Rural,Female,46,Right,2
2156,1.6,145,3,1,University degree,Suburban,Female,24,Right,2
2157,1,137,2,1,High School,Urban,Female,18,Right,2
2158,2.75,183,2,1,High School,Urban,Male,18,Right,2
2159,1.2,321,2,2,High School,Rural,Male,21,Left,2
2160,5.6,201,3,1,University degree,Rural,Male,18,Right,3
2161,1.05,125,2,1,High School,Urban,Female,30,Right,2
2162,1.8,695,2,1,High School,Suburban,Female,32,NA,2
2163,5.25,173,2,2,High School,Suburban,Male,18,Left,2
2164,2,173,4,1,Graduate degree,Suburban,Female,30,Right,2
2165,3.65,133,2,2,High School,Suburban,Male,18,Right,1
2166,4.3,262,1,1,Less than high school,Suburban,Male,17,Left,4
2167,1.95,227,4,2,Graduate degree,Urban,Female,42,Right,2
2168,3.8,822,1,1,Less than high school,Urban,Male,36,Right,3
2169,3.5,303,3,1,University degree,Urban,Female,40,Right,4
2170,2.6,223,2,1,High School,Suburban,Male,39,Right,1
2171,4.55,330,2,1,High School,Urban,Female,38,Right,2
2172,1.35,157,1,1,Less than high school,Urban,Female,15,Right,4
2173,1.1,130,3,1,University degree,Suburban,Male,36,Right,3
2174,1.35,156,3,1,University degree,Suburban,Male,29,Right,2
2175,1.05,136,1,1,Less than high school,Suburban,Female,17,Right,2
2176,4.15,340,3,1,University degree,Urban,Female,41,Both,4
2177,1.3,185,2,2,High School,Urban,Female,18,Right,2
2178,1.45,167,4,1,Graduate degree,Urban,Male,45,Right,2
2179,1.45,136,1,1,Less than high school,Urban,Male,15,Right,2
2180,1.1,116,4,1,Graduate degree,Rural,Female,43,Right,2
2181,2.05,278,3,1,University degree,Urban,Male,22,Right,2
2182,4.4,216,3,2,University degree,Urban,Male,30,Left,2
2183,2.95,193,2,2,High School,Urban,Male,29,Left,1
2184,1,164,3,2,University degree,Suburban,Male,27,Right,2
2185,2,289,2,1,High School,Rural,Female,47,Right,3
2186,2.65,220,4,1,Graduate degree,Rural,Male,32,Right,1
2187,2.6,264,4,2,Graduate degree,Suburban,Female,47,Right,2
2188,1.15,186,3,1,University degree,Suburban,Female,25,Right,2
2189,1.9,143,2,1,High School,Rural,Male,30,Right,5
2190,5.8,205,2,1,High School,Suburban,Male,26,Right,2
2191,1.3,113,4,1,Graduate degree,Suburban,Female,32,Right,3
2192,3.4,230,3,1,University degree,Suburban,Male,33,Right,2
2193,5.2,192,2,1,High School,Suburban,Male,26,Right,3
2194,1.3,162,2,1,High School,Urban,Female,54,Right,3
2195,4.55,379,2,1,High School,Rural,Male,60,Right,3
2196,2.35,163,4,2,Graduate degree,Urban,Male,51,Right,1
2197,1.2,121,3,1,University degree,Rural,Female,22,Right,2
2198,1.4,181,2,1,High School,Urban,Male,42,Right,2
2199,2.4,176,3,2,University degree,Urban,Male,37,Both,1
2200,1.6,138,4,1,Graduate degree,Suburban,Male,24,Right,2
2201,1.25,157,3,1,University degree,NA,Male,55,Right,1
2202,2.15,190,1,2,Less than high school,Suburban,Female,17,Right,2
2203,2.7,208,2,1,High School,Urban,Female,23,Right,2
2204,2.7,171,4,1,Graduate degree,Urban,Male,56,Right,1
2205,1.3,260,2,2,High School,Urban,Male,22,Right,2
2206,2.25,276,4,2,Graduate degree,Suburban,Male,25,Right,2
2207,1.75,106,2,1,High School,Suburban,Male,17,Right,2
2208,1.2,168,4,1,Graduate degree,Urban,Male,40,Right,5
2209,3.7,1921,2,1,High School,Suburban,Male,18,Right,4
2210,1.15,157,0,1,NA,Rural,Female,60,Right,2
2211,1.15,267,3,1,University degree,Suburban,Male,22,Right,2
2212,4.05,427,4,2,Graduate degree,Urban,Male,60,Right,6
2213,2.05,193,2,1,High School,Suburban,Male,17,Right,3
2214,4.15,228,3,1,University degree,Urban,Male,23,Right,2
2215,3.75,224,3,2,University degree,Rural,Male,32,Right,2
2216,1.4,121,4,1,Graduate degree,Urban,Female,33,NA,2
2217,2.25,238,4,1,Graduate degree,Urban,Male,36,Right,2
2218,5.55,457,3,1,University degree,Suburban,Male,29,Right,2
2219,1.15,167,4,2,Graduate degree,Urban,Male,40,Right,3
2220,1.25,831,3,1,University degree,Urban,Other,34,Right,2
2221,3.75,381,4,2,Graduate degree,Urban,Male,23,Right,1
2222,1.2,261,3,1,University degree,Suburban,Female,35,Right,3
2223,2.25,208,4,1,Graduate degree,Urban,Male,57,Left,2
2224,6.35,350,3,2,University degree,Suburban,Female,22,Right,6
2225,4.8,574,4,2,Graduate degree,Urban,Male,21,Right,0
2226,1,202,2,2,High School,Rural,Male,22,Right,2
2227,2.95,135,3,1,University degree,Rural,Female,32,Right,2
2228,5.05,343,3,2,University degree,Suburban,Male,26,Both,3
2229,6.7,113,4,2,Graduate degree,Urban,Female,24,Right,1
2230,5.7,161,3,1,University degree,Urban,Male,54,Right,3
2231,1.45,245,1,2,Less than high school,Urban,Female,16,Left,3
2232,7.4,197,2,1,High School,Suburban,Male,40,Right,1
2233,2.45,191,2,1,High School,Suburban,Male,64,Right,4
2234,1,177,2,1,High School,Suburban,Male,18,Right,2
2235,2.7,295,0,1,NA,Rural,Male,43,Right,2
2236,1.05,175,3,1,University degree,Urban,Female,40,Right,3
2237,2.15,229,4,1,Graduate degree,Rural,Male,41,Right,2
2238,3.8,211,4,1,Graduate degree,Rural,Female,26,Left,3
2239,2.05,178,3,1,University degree,Suburban,Male,35,Right,5
2240,2.6,308,2,2,High School,Urban,Male,28,Right,2
2241,1.55,426,2,1,High School,Suburban,Male,18,Left,3
2242,1.65,269,2,1,High School,Urban,Female,15,Right,1
2243,3.45,346,4,2,Graduate degree,Urban,Female,22,Right,2
2244,1,117,3,1,University degree,Urban,Male,33,Right,5
2245,5.1,249,3,1,University degree,Suburban,Male,54,Left,3
2246,1.05,215,3,1,University degree,Urban,Male,36,Right,1
2247,3.4,430,3,1,University degree,Urban,Male,53,Right,2
2248,2.55,93054,3,2,University degree,Urban,Female,34,Left,2
2249,1.75,407,3,2,University degree,Urban,Male,22,Right,2
2250,3.15,205,2,1,High School,Rural,Male,26,Right,4
2251,3.3,279,3,2,University degree,Urban,Male,30,Right,3
2252,2.05,146,3,1,University degree,Rural,Male,68,Right,3
2253,1,149,2,2,High School,Urban,Female,20,Right,2
2254,1.75,211,3,2,University degree,Suburban,Male,34,Right,3
2255,3.4,248,4,2,Graduate degree,Urban,Male,29,Right,2
2256,1.45,137,1,1,Less than high school,Suburban,Female,19,Right,3
2257,1.25,195,3,1,University degree,Suburban,Male,23,Right,4
2258,3.35,198,4,1,Graduate degree,Suburban,Male,38,Right,3
2259,6.35,280,2,1,High School,Suburban,Male,17,Right,5
2260,1.6,159,2,1,High School,Suburban,Female,51,Right,2
2261,3.85,137,2,1,High School,Urban,Male,14,Right,2
2262,5.05,394,2,1,High School,Urban,Male,28,Right,3
2263,1.45,166,4,2,Graduate degree,Suburban,Female,29,Right,2
2264,2.8,283,3,2,University degree,Rural,Male,21,Right,1
2265,6.75,365,1,1,Less than high school,Rural,Female,16,Right,2
2266,1.8,228,3,2,University degree,Urban,Female,26,Right,2
2267,3.25,377,2,2,High School,Urban,Female,18,Right,0
2268,2.15,173,2,1,High School,Suburban,Female,41,Right,2
2269,1.6,179,2,1,High School,Suburban,Male,17,Right,2
2270,1.2,248,2,2,High School,Rural,Female,24,Right,3
2271,6.05,212,2,1,High School,Rural,Female,18,Right,3
2272,1.6,345,2,1,High School,Rural,Male,28,Right,1
2273,1.65,378,1,2,Less than high school,Urban,Other,15,Right,3
2274,7.9,180,3,1,University degree,Rural,Female,21,Right,1
2275,7.1,148,3,1,University degree,Rural,Male,46,Right,6
2276,1.5,117,1,1,Less than high school,Urban,Female,14,Right,2
2277,3.35,279,2,1,High School,Rural,Male,29,Right,5
2278,1.75,268,3,1,University degree,Rural,Female,57,Right,8
2279,6.15,335,3,1,University degree,Suburban,Male,29,Right,2
2280,1.35,160,4,2,Graduate degree,Urban,Male,31,Left,2
2281,1.55,199,3,1,University degree,Urban,Male,53,Right,2
2282,1.8,192,4,1,Graduate degree,Urban,Male,37,Right,2
2283,1.45,174,4,1,Graduate degree,Suburban,Male,63,Right,4
2284,7.3,157,3,1,University degree,Rural,Male,36,Right,0
2285,2.85,449,2,1,High School,Suburban,Female,18,Right,3
2286,1.9,260,4,1,Graduate degree,Urban,Male,55,Both,8
2287,2.65,470,3,1,University degree,Suburban,Female,30,Right,5
2288,2.35,239,4,2,Graduate degree,Urban,Male,40,Both,1
2289,1.95,119,2,1,High School,Urban,Other,20,Right,2
2290,4.1,674,2,2,High School,Urban,Male,36,Right,2
2291,3.9,262,2,2,High School,Urban,Male,22,Right,2
2292,2.75,228,2,1,High School,Urban,Male,18,Right,1
2293,2.35,281,4,2,Graduate degree,Urban,Male,28,Right,2
2294,2.8,243,2,2,High School,Urban,Male,19,Left,2
2295,6.85,181,2,2,High School,Urban,Male,17,Right,2
2296,8,398,3,2,University degree,Suburban,Male,22,Right,0
2297,1.55,292,2,1,High School,Rural,Male,18,Right,4
2298,3.6,218,1,1,Less than high school,Suburban,Male,18,Right,2
2299,1,160,1,1,Less than high school,Suburban,Female,17,Right,2
2300,5.05,227,2,1,High School,Suburban,Male,20,Right,10
2301,4.7,102,0,1,NA,Suburban,Male,17,Right,2
2302,1.7,173,3,1,University degree,Urban,Male,32,Left,2
2303,1.15,308,3,1,University degree,Rural,Female,19,Right,3
2304,1.7,271,4,1,Graduate degree,Suburban,Male,54,Left,5
2305,2.45,198,2,1,High School,Urban,Female,19,Right,1
2306,1.5,179,3,1,University degree,Suburban,Female,45,Left,1
2307,1.05,158,2,1,High School,Suburban,Male,18,Left,2
2308,1.35,152,2,1,High School,Suburban,Male,43,Left,1
2309,1.45,160,3,1,University degree,Suburban,Male,20,Left,1
2310,1.85,172,1,1,Less than high school,Rural,Male,15,Right,4
2311,1.6,104,3,1,University degree,Rural,Male,43,Right,2
2312,1.85,464,1,2,Less than high school,Rural,Male,26,Right,0
2313,3.6,178,3,1,University degree,Suburban,Male,27,Right,4
2314,3.1,395,4,2,Graduate degree,Urban,Male,53,Right,3
2315,3.4,519,4,2,Graduate degree,Rural,Female,24,Right,6
2316,2.15,225,2,1,High School,Urban,Female,21,Right,3
2317,1.15,288,3,1,University degree,Urban,Male,30,Right,2
2318,1.25,280,2,1,High School,Urban,Female,27,Right,2
2319,1.4,217,3,1,University degree,Rural,Female,30,Right,6
2320,1.15,200,2,1,High School,Urban,Female,42,Right,1
2321,2.35,185,2,2,High School,Suburban,Female,15,Right,2
2322,6.4,206,2,2,High School,Urban,Male,18,Right,1
2323,5.45,200,2,2,High School,Rural,Male,18,Right,3
2324,4.4,278,2,1,High School,Suburban,Male,18,Right,3
2325,3.65,172,2,1,High School,Suburban,Female,18,Right,2
2326,3.6,214,2,1,High School,Urban,Male,20,Right,3
2327,3.85,151,2,1,High School,Urban,Male,47,Both,4
2328,4.55,193,4,1,Graduate degree,Suburban,Male,22,Right,6
2329,2.75,197,3,2,University degree,Urban,Female,22,Right,1
2330,2.65,945,1,1,Less than high school,Rural,Female,14,Right,2
2331,1.65,299,1,1,Less than high school,Suburban,Male,16,Right,3
2332,1,375,1,2,Less than high school,Suburban,Female,16,Right,2
2333,1.9,175,2,1,High School,Urban,Male,48,Left,2
2334,1.6,784,3,1,University degree,Suburban,Female,23,Right,6
2335,2.45,270,4,2,Graduate degree,Urban,Male,39,Right,1
2336,3.25,162,3,1,University degree,Rural,Female,24,Left,2
2337,6.05,205,2,1,High School,Urban,Male,25,Left,1
2338,4.15,171,2,1,High School,Suburban,Male,29,Right,4
2339,1.05,156,2,1,High School,Rural,Male,17,Right,2
2340,7.1,187,4,1,Graduate degree,Rural,Male,29,Right,2
2341,2,203,1,1,Less than high school,Suburban,Female,14,Right,2
2342,7.5,133,3,1,University degree,Rural,Male,27,Right,2
2343,1.65,207,4,1,Graduate degree,Suburban,Female,45,Right,1
2344,1.65,185,4,1,Graduate degree,Suburban,Male,64,Right,1
2345,1.15,209,3,1,University degree,Urban,Female,29,Right,2
2346,4.55,249,2,1,High School,Rural,Female,43,Right,2
2347,1.75,225,2,1,High School,Suburban,Female,39,Right,2
2348,1.05,244,2,1,High School,Suburban,Male,34,Right,2
2349,5.6,93,4,1,Graduate degree,Urban,Male,25,Right,3
2350,1.75,301,2,1,High School,Urban,Male,64,Left,6
2351,5.4,84,1,1,Less than high school,Urban,Male,14,Right,2
2352,1.85,172,4,1,Graduate degree,Suburban,Male,38,Right,3
2353,1,144,2,1,High School,Suburban,Male,20,Right,2
2354,1.4,253,3,1,University degree,Urban,Female,24,Right,2
2355,1.8,227,1,1,Less than high school,Suburban,Male,15,Right,3
2356,1.45,435,3,1,University degree,Rural,Female,20,Right,1
2357,2.6,241,2,2,High School,Rural,Male,20,Right,3
2358,2.6,1059,1,1,Less than high school,Suburban,Male,17,Right,2
2359,2.85,162,2,1,High School,Suburban,Male,19,Right,1
2360,2.8,122,1,1,Less than high school,Urban,NA,18,Right,3
2361,1.85,146,1,2,Less than high school,Suburban,Male,16,Both,2
2362,1.85,136,2,2,High School,Urban,Male,17,Right,2
2363,3.4,274,2,1,High School,Urban,Female,79,Right,1
2364,2.4,271,1,2,Less than high school,Suburban,Male,19,Left,2
2365,1.05,166,3,1,University degree,Rural,Other,23,Both,2
2366,6.45,275,3,1,University degree,Urban,Male,32,Right,3
2367,1,208,4,1,Graduate degree,Suburban,Female,39,Right,1
2368,4.9,471,4,1,Graduate degree,Suburban,Male,55,Right,2
2369,1.7,145,1,1,Less than high school,Suburban,Female,17,Both,3
2370,1.2,278,4,2,Graduate degree,Urban,Male,47,Right,2
2371,3.6,560,2,2,High School,Rural,Male,20,Right,2
2372,7.65,201,2,1,High School,Suburban,Male,21,Right,6
2373,5.65,230,3,2,University degree,Suburban,Male,32,Right,3
2374,1.65,106,1,1,Less than high school,Urban,Female,17,Right,2
2375,3.05,174,1,1,Less than high school,Urban,Female,25,Right,2
2376,4,146,1,1,Less than high school,Rural,Female,56,Right,5
2377,2.85,815,3,1,University degree,Rural,Male,21,Right,4
2378,2.4,300,2,1,High School,Rural,Male,66,Right,3
2379,6.55,287,2,2,High School,Rural,NA,44,Right,3
2380,1.35,148,2,1,High School,Suburban,Male,22,Right,2
2381,1.25,249,2,1,High School,Urban,Male,16,Left,2
2382,1.65,172,2,1,High School,Suburban,Male,29,Right,3
2383,1.8,376,3,1,University degree,Urban,Male,31,Right,2
2384,4.05,481,4,1,Graduate degree,Urban,Female,24,Right,3
2385,2,357,2,1,High School,Urban,Male,30,Right,3
2386,1.95,248,4,2,Graduate degree,Rural,Male,24,Right,2
2387,1.95,179,3,1,University degree,Urban,Male,62,Right,1
2388,3.45,181,3,1,University degree,Rural,Male,22,Right,3
2389,6.3,7628,2,1,High School,Suburban,Male,16,Right,2
2390,1.8,130,4,1,Graduate degree,Suburban,Female,8008,Both,69
2391,2.6,167,2,1,High School,Suburban,Male,17,Right,2
2392,4.85,266,2,1,High School,Urban,Male,17,Right,1
2393,8.6,137,1,1,Less than high school,Suburban,Male,17,Right,2
2394,1.1,238,4,1,Graduate degree,Rural,Other,41,Right,2
2395,2.3,174,1,1,Less than high school,Urban,Male,15,Right,1
2396,1,116,2,1,High School,Urban,Male,61,Right,2
2397,3.95,269,2,0,High School,Suburban,Male,31,Right,3
2398,3.05,163,2,1,High School,Rural,Male,68,Left,2
2399,7.75,238,3,1,University degree,Rural,Male,50,Right,4
2400,6.6,213,1,1,Less than high school,Suburban,Female,14,Right,2
2401,5.25,193,3,2,University degree,Suburban,Female,22,Right,2
2402,1.45,482,1,2,Less than high school,Urban,Female,15,Right,2
2403,3,502,4,2,Graduate degree,Urban,Male,34,Right,2
2404,2.9,302,3,1,University degree,Suburban,Male,25,Right,2
2405,1.95,166,3,2,University degree,Urban,Female,25,Right,1
2406,1.3,103,2,1,High School,Suburban,Male,23,Right,2
2407,1.8,256,2,1,High School,Urban,Male,23,Left,1
2408,2.75,260,2,1,High School,Urban,Male,16,Right,0
2409,4.35,466,4,2,Graduate degree,Suburban,Male,31,Right,1
2410,1.15,214,2,1,High School,Suburban,Male,22,Right,3
2411,2.7,422,3,2,University degree,Urban,Male,24,Right,2
2412,4.5,180,4,1,Graduate degree,Rural,Female,38,Both,2
2413,1.7,281,2,1,High School,Rural,Male,18,Right,3
2414,1.5,243,2,2,High School,Suburban,Female,17,Right,1
2415,1,176,4,1,Graduate degree,Suburban,Female,60,Right,2
2416,1.9,172,3,1,University degree,Suburban,Male,29,Right,2
2417,2.7,215,2,1,High School,Suburban,Female,21,Right,2
2418,2.05,196,4,2,Graduate degree,Rural,Female,46,Right,3
2419,3.45,227,3,1,University degree,Urban,Male,24,Right,2
2420,3.5,239,2,1,High School,Suburban,Female,49,Right,3
2421,2.35,341,4,1,Graduate degree,Suburban,Female,58,Right,3
2422,2.8,369,2,1,High School,Suburban,Male,43,Right,3
2423,1.85,150,4,1,Graduate degree,Suburban,Female,32,Right,3
2424,1.6,267,2,1,High School,Rural,Male,39,Right,1
2425,2.45,246,2,1,High School,Suburban,Male,30,Left,2
2426,2.1,197,4,1,Graduate degree,Rural,Female,24,Right,5
2427,2.35,287,2,2,High School,Urban,Male,28,Left,1
2428,4.65,276,2,1,High School,Rural,Male,43,Right,2
2429,4.4,400,1,1,Less than high school,Suburban,Male,14,Right,1
2430,1,197,4,1,Graduate degree,Suburban,Male,40,Right,3
2431,1.35,255,3,1,University degree,Suburban,Female,21,Right,2
2432,1.5,246,1,1,Less than high school,Suburban,Male,14,Right,2
2433,1.4,117,2,1,High School,Urban,Female,19,Right,3
2434,1.7,241,3,1,University degree,Suburban,Male,28,Right,1
2435,2.6,169,3,1,University degree,Rural,Male,20,Right,2
2436,1.85,219,3,1,University degree,Rural,Male,70,Right,2
2437,6.3,103,2,1,High School,Urban,Male,18,Right,1
2438,2.5,281,2,1,High School,Rural,Male,46,Right,4
2439,3.5,131961,3,2,University degree,Urban,Other,31,Right,2
2440,1.55,267,2,1,High School,Urban,Male,20,Right,1
2441,6.15,224,1,2,Less than high school,Urban,Male,15,Both,2
2442,4,368,2,2,High School,Urban,Male,22,Left,2
2443,2.7,188,3,1,University degree,Urban,Male,40,Right,5
2444,4.55,204,4,1,Graduate degree,Urban,Male,23,Right,2
2445,1.3,200,2,1,High School,Suburban,Male,25,Left,2
2446,7.4,289,4,1,Graduate degree,Rural,Male,39,Both,1
2447,1.45,295,1,1,Less than high school,Rural,Other,64,Right,8
2448,1,660,3,1,University degree,Rural,Male,49,Right,1
2449,1.8,138,2,1,High School,Rural,Male,19,Left,2
2450,1.9,68608,2,1,High School,Suburban,Female,20,Right,4
2451,1.2,1224,3,2,University degree,Suburban,Female,29,Right,1
2452,1.95,198,4,1,Graduate degree,Rural,Female,49,Both,5
2453,1.75,370,2,2,High School,Suburban,Male,23,Right,3
2454,4.95,114,3,1,University degree,Urban,Female,30,Right,2
2455,3.65,217,2,1,High School,Urban,Male,21,Right,3
2456,6.55,183,3,2,University degree,Urban,Male,28,Right,3
2457,2.05,261,2,1,High School,Urban,Male,39,Right,3
2458,5.6,353,3,2,University degree,Urban,Male,23,Right,3
2459,4.3,294,3,2,University degree,Suburban,Male,21,Left,2
2460,2.15,629,2,2,High School,Urban,Male,17,Right,1
2461,2.95,517,3,2,University degree,Urban,Male,46,Right,2
2462,3.55,283,1,2,Less than high school,Urban,Male,14,Both,2
2463,1.9,236,3,1,University degree,Suburban,Female,56,Left,5
2464,6.8,1599,3,1,University degree,Rural,Male,27,Right,2
2465,1.6,191,2,1,High School,Suburban,Male,17,Left,4
2466,2.4,166,4,1,Graduate degree,Urban,Male,74,Right,2
2467,2.65,1014,3,1,University degree,Suburban,Male,20,Left,2
2468,1.65,773,1,1,Less than high school,Suburban,Other,16,Left,2
2469,2.65,219,3,1,University degree,Rural,Female,23,Right,2
2470,1.35,280,2,1,High School,Suburban,Female,35,Right,5
2471,1.6,302,0,1,NA,Urban,Other,17,Right,2
2472,3.8,288,3,1,University degree,Urban,Male,44,Right,3
2473,2.7,218,1,1,Less than high school,Rural,Male,16,Right,2
2474,4.75,165,4,2,Graduate degree,Urban,Male,33,Right,2
2475,1.6,156,2,1,High School,Urban,Female,24,Right,2
2476,2,323,2,2,High School,Urban,Male,38,Left,2
2477,1.4,838,4,1,Graduate degree,Suburban,Male,30,Left,2
2478,7.7,269,4,2,Graduate degree,Urban,Male,38,Right,1
2479,6,158,0,1,NA,Urban,Male,18,Right,1
2480,8.25,256,2,1,High School,Urban,Male,17,Both,4
2481,4.2,242,2,1,High School,Urban,Female,19,Right,2
2482,1.8,124,4,1,Graduate degree,Suburban,Female,29,Right,2
2483,1,108,1,1,Less than high school,Suburban,Male,16,Right,3
2484,2.75,171,4,1,Graduate degree,Suburban,Male,28,Right,1
2485,1.55,203,3,1,University degree,Suburban,Male,31,Right,2
2486,2.45,190,2,1,High School,Suburban,Male,60,Right,4
2487,3.15,178,1,1,Less than high school,Urban,Male,15,Right,1
2488,5.3,164,4,2,Graduate degree,Suburban,Male,30,Left,4
2489,3.5,400,1,1,Less than high school,Urban,Male,16,Right,3
2490,3.2,286,1,2,Less than high school,Rural,Male,16,Right,2
2491,1.45,181,4,1,Graduate degree,Suburban,Male,48,Right,2
2492,2.4,152,2,2,High School,Urban,Female,16,Right,2
2493,1,395,2,1,High School,Urban,Male,29,Right,3
2494,3.7,192,1,1,Less than high school,Suburban,Female,17,Right,2
2495,4.95,164,1,2,Less than high school,Urban,Male,15,Right,2
2496,2.15,111,2,1,High School,Urban,Female,14,Right,4
2497,1.1,122,4,2,Graduate degree,Urban,Male,31,Right,3
2498,3.55,285,3,2,University degree,Urban,Male,20,Right,2
2499,1.3,219,1,1,Less than high school,Rural,Male,24,Right,2
2500,5.2,206,4,1,Graduate degree,Rural,Male,60,Right,2
2501,1,280,3,1,University degree,Urban,Male,35,Right,2
2502,2.1,224,4,2,Graduate degree,Urban,Male,38,Right,2
2503,6.15,227,2,2,High School,Suburban,Male,21,Right,2
2504,1.7,286,3,1,University degree,Suburban,Female,55,Right,4
2505,2,95,4,1,Graduate degree,Suburban,Female,30,Left,2
2506,2.35,182,3,1,University degree,Suburban,Female,60,Right,3
2507,2.5,288,4,1,Graduate degree,Rural,Male,65,Right,2
2508,4,174,2,2,High School,Suburban,Male,21,Left,2
2509,1,202,4,1,Graduate degree,Urban,Male,53,Left,2
2510,2.6,309,3,1,University degree,Urban,Male,44,Right,1
2511,1.05,148,2,2,High School,Rural,Female,21,Right,2
2512,1.35,164,3,1,University degree,Urban,Female,54,Right,4
2513,2.85,122,3,1,University degree,Urban,Female,46,Right,4
2514,3.2,280,1,1,Less than high school,Suburban,Male,15,Right,2
2515,3.1,1050,3,2,University degree,Suburban,Male,54,Right,3
2516,2.5,405,3,2,University degree,Suburban,Male,30,Right,0
2517,1.6,446,1,2,Less than high school,Suburban,Male,13,Right,2
2518,6.45,250,3,1,University degree,Rural,Male,68,Right,1
2519,2.55,382,3,1,University degree,Rural,Female,49,Right,2
2520,6.05,318,4,1,Graduate degree,Suburban,Male,25,Right,1
2521,1.6,206,2,1,High School,Rural,Female,15,Right,4
2522,2.75,198,1,1,Less than high school,Urban,Male,14,Right,3
2523,3.8,302,4,1,Graduate degree,Urban,Male,28,Right,3
2524,7.85,639,3,1,University degree,Rural,Male,20,Right,3
2525,6,132,3,1,University degree,Suburban,Male,54,Right,5
2526,3.75,521,1,1,Less than high school,Rural,Female,37,Right,4
2527,2.35,528,3,2,University degree,Suburban,Female,19,Right,2
2528,1.05,98,4,1,Graduate degree,Suburban,Female,47,Right,2
2529,5.25,333,3,1,University degree,Rural,Female,36,Right,5
2530,1.55,267,2,1,High School,Rural,Male,17,Right,3
2531,4.6,262,2,1,High School,Suburban,Other,18,Right,3
2532,3.85,394,2,1,High School,Rural,Male,17,Right,3
2533,1.7,4896,3,1,University degree,Suburban,Male,26,Right,4
2534,1.25,233,2,1,High School,Suburban,Female,17,Right,3
2535,1.6,252,3,1,University degree,Rural,Female,46,Right,4
2536,4.2,329,1,2,Less than high school,Urban,Male,17,Right,1
2537,3.45,419,2,2,High School,Urban,Female,15,Right,3
